packages_number
100
number;city_from;city_to;date_ready;date_delivery;weight
0;7;2;12;16;6
1;4;9;1;6;4
2;10;8;4;14;6
3;5;4;1;9;5
4;6;7;8;11;7
5;1;4;5;12;7
6;7;9;9;12;7
7;11;6;5;13;6
8;12;0;5;15;4
9;8;13;1;10;7
10;9;13;8;15;4
11;3;1;10;14;3
12;6;1;5;12;4
13;5;10;11;16;3
14;13;0;6;13;6
15;13;8;10;13;5
16;13;4;6;15;5
17;1;12;3;8;4
18;11;4;3;10;4
19;14;11;8;11;6
20;0;6;1;15;4
21;10;12;4;10;7
22;1;3;8;14;5
23;12;0;11;14;5
24;10;12;12;15;6
25;12;4;9;15;4
26;5;14;1;7;7
27;8;1;12;16;7
28;4;10;13;16;7
29;6;14;5;13;6
30;6;1;5;16;6
31;3;0;11;15;3
32;10;4;0;4;4
33;8;0;1;7;6
34;8;13;7;10;3
35;11;12;6;16;6
36;11;1;12;15;5
37;10;5;10;15;5
38;11;0;3;8;7
39;8;1;11;16;6
40;11;4;8;16;5
41;10;2;8;11;6
42;10;14;13;16;3
43;6;11;3;13;4
44;1;13;13;16;4
45;2;4;7;11;7
46;10;4;9;14;5
47;5;10;6;10;4
48;7;3;8;15;7
49;4;14;9;14;5
50;10;0;8;12;5
51;7;5;8;12;7
52;10;13;8;15;3
53;9;5;7;14;7
54;7;1;10;14;3
55;13;10;10;14;5
56;9;3;10;13;6
57;8;4;5;14;6
58;10;2;8;11;4
59;7;3;0;14;3
60;0;13;9;12;5
61;3;13;4;14;3
62;1;5;3;11;5
63;11;8;1;8;3
64;10;3;0;9;4
65;1;7;12;16;6
66;6;7;11;14;3
67;5;1;6;10;6
68;6;7;12;16;4
69;5;14;13;16;3
70;8;10;13;16;5
71;8;6;1;4;4
72;8;12;6;15;7
73;8;9;0;8;4
74;1;0;0;4;3
75;4;1;2;14;6
76;5;7;8;15;4
77;8;13;5;15;7
78;12;3;11;15;6
79;13;12;8;11;7
80;7;1;5;15;5
81;0;6;4;9;7
82;7;0;5;10;7
83;4;10;8;11;5
84;9;6;9;14;4
85;8;2;11;15;3
86;2;1;8;13;4
87;9;14;1;12;6
88;7;4;12;16;6
89;1;5;13;16;3
90;5;3;13;16;6
91;13;10;0;12;3
92;9;7;2;12;7
93;8;1;3;8;3
94;0;9;4;14;6
95;0;2;7;10;6
96;8;5;1;10;5
97;8;11;7;10;4
98;10;8;10;13;4
99;12;11;2;5;6
