packages_number
200
number;city_from;city_to;date_ready;date_delivery;weight
0;8;7;12;16;3
1;10;14;9;13;5
2;2;7;5;14;3
3;8;0;10;13;5
4;11;9;7;14;5
5;9;19;2;14;4
6;18;8;11;16;7
7;17;16;11;16;7
8;2;3;5;11;4
9;2;16;13;16;7
10;4;1;12;15;3
11;2;9;4;12;6
12;10;16;7;16;5
13;19;12;1;14;6
14;19;2;3;10;6
15;11;13;0;14;6
16;18;12;3;10;6
17;15;7;5;9;5
18;2;13;2;8;3
19;15;3;13;16;7
20;16;6;5;10;3
21;15;1;13;16;7
22;5;14;10;14;5
23;2;0;2;9;4
24;13;19;7;13;7
25;8;4;13;16;3
26;9;17;5;14;5
27;2;19;6;11;5
28;7;18;3;15;3
29;19;1;6;12;5
30;17;12;10;13;6
31;4;10;5;15;6
32;16;7;1;15;4
33;5;14;5;14;3
34;2;13;2;11;6
35;12;17;11;15;4
36;9;11;9;16;4
37;7;17;0;14;6
38;0;19;11;15;4
39;6;4;7;13;4
40;12;13;7;10;5
41;0;1;7;16;7
42;17;11;1;16;7
43;11;4;3;16;5
44;14;9;4;13;6
45;8;7;11;15;6
46;8;9;2;12;5
47;1;11;7;15;3
48;10;12;10;14;4
49;13;1;3;10;4
50;19;7;8;12;7
51;6;17;0;16;5
52;3;14;12;15;5
53;9;12;11;16;4
54;1;15;11;14;6
55;19;10;13;16;7
56;2;15;9;13;7
57;1;13;10;16;3
58;16;14;12;16;3
59;11;19;12;15;4
60;15;9;8;14;3
61;5;15;0;5;3
62;0;8;10;15;3
63;5;0;3;7;5
64;4;6;12;15;4
65;15;3;9;16;5
66;19;4;1;4;5
67;6;10;3;11;5
68;16;8;12;15;6
69;19;2;1;10;3
70;5;11;11;16;4
71;12;1;3;12;4
72;6;0;11;14;3
73;6;11;0;7;7
74;14;9;12;16;3
75;16;9;8;15;4
76;9;7;12;16;5
77;2;3;1;16;5
78;19;14;8;11;5
79;4;16;3;14;7
80;8;12;11;14;6
81;4;5;12;16;5
82;4;0;0;3;5
83;18;12;1;7;3
84;19;7;6;16;4
85;12;16;2;6;3
86;17;3;3;15;6
87;18;15;4;10;7
88;6;3;10;15;3
89;11;8;1;9;6
90;6;19;12;16;3
91;18;15;0;10;4
92;16;4;13;16;3
93;11;18;12;15;7
94;16;2;2;13;3
95;5;19;0;6;5
96;4;5;13;16;5
97;7;3;1;5;3
98;9;16;6;15;7
99;18;8;7;15;4
100;6;12;12;16;6
101;4;15;7;11;3
102;18;15;12;16;4
103;1;19;4;13;5
104;7;6;3;16;6
105;12;11;3;10;4
106;0;17;13;16;3
107;13;15;12;15;4
108;10;4;10;15;4
109;19;2;0;3;6
110;12;14;12;15;3
111;6;17;13;16;5
112;5;17;5;14;3
113;4;5;3;13;3
114;0;6;12;15;3
115;7;10;4;15;5
116;14;3;6;9;7
117;7;0;5;12;4
118;11;17;8;15;6
119;9;14;2;10;5
120;11;17;12;15;5
121;0;12;11;14;4
122;4;19;2;6;5
123;6;16;1;14;4
124;11;0;10;15;6
125;14;19;4;8;7
126;4;10;11;15;5
127;16;7;5;11;6
128;6;0;9;16;4
129;8;3;5;16;4
130;4;10;12;15;5
131;16;17;7;11;6
132;3;19;10;15;5
133;13;17;0;5;4
134;5;7;13;16;3
135;0;2;13;16;4
136;1;12;10;15;7
137;17;18;12;16;7
138;18;8;8;13;3
139;18;15;4;8;4
140;1;10;7;10;4
141;19;17;5;8;7
142;7;1;7;14;3
143;18;14;0;8;7
144;1;5;10;15;5
145;18;4;5;15;3
146;11;5;8;14;7
147;10;15;3;7;5
148;11;14;12;15;5
149;1;7;8;15;6
150;4;12;3;14;5
151;17;13;6;15;6
152;9;0;5;9;3
153;2;17;13;16;6
154;0;12;10;14;6
155;4;18;13;16;4
156;0;16;4;9;7
157;4;0;8;11;4
158;19;7;3;14;6
159;10;17;10;14;3
160;14;0;10;14;3
161;3;12;3;11;5
162;19;12;9;14;4
163;12;19;5;14;5
164;15;3;2;11;4
165;12;16;0;16;3
166;4;9;1;6;5
167;3;18;8;11;5
168;7;9;11;15;7
169;19;14;8;11;4
170;1;11;5;13;6
171;12;2;3;13;4
172;0;12;2;16;4
173;7;16;10;14;6
174;10;9;7;10;7
175;6;5;7;15;5
176;5;18;13;16;3
177;15;17;0;3;7
178;3;18;13;16;3
179;13;6;7;11;3
180;13;9;1;8;5
181;2;15;10;13;3
182;15;12;3;16;7
183;15;12;13;16;5
184;6;4;6;12;5
185;18;8;2;8;5
186;0;5;10;13;6
187;6;3;11;15;6
188;14;2;3;12;3
189;6;17;5;10;7
190;1;3;4;13;6
191;12;3;5;9;5
192;17;5;8;16;4
193;0;11;3;8;7
194;19;17;3;7;3
195;2;17;3;8;4
196;14;7;0;3;4
197;2;18;8;12;3
198;9;11;3;7;7
199;0;13;10;14;6
