packages_number
30
number;city_from;city_to;date_ready;date_delivery;weight
0;12;8;78;84;7
1;1;4;26;53;3
2;14;17;179;197;7
3;11;8;16;73;7
4;5;16;149;187;5
5;7;14;21;168;6
6;19;11;142;188;7
7;15;17;65;112;6
8;2;17;106;124;5
9;12;2;81;93;5
10;6;17;86;195;6
11;9;0;159;193;3
12;16;3;107;191;6
13;17;2;118;196;6
14;8;10;41;88;3
15;19;8;175;196;7
16;11;19;120;174;7
17;10;12;18;123;7
18;16;15;69;186;5
19;1;3;194;200;3
20;0;12;33;79;5
21;6;17;54;63;5
22;5;15;65;145;6
23;19;7;126;140;7
24;2;18;71;146;4
25;11;10;147;183;6
26;0;17;69;131;7
27;7;17;92;102;6
28;5;16;7;189;3
29;15;4;109;150;6
