packages_number
200
number;city_from;city_to;date_ready;date_delivery;weight
0;8;6;0;12;7
1;12;11;13;16;6
2;14;12;13;16;4
3;14;1;10;14;3
4;4;8;8;11;6
5;8;0;9;12;3
6;12;2;1;5;4
7;11;6;12;16;4
8;5;10;6;14;7
9;8;3;13;16;5
10;2;7;11;14;6
11;14;1;10;16;4
12;13;14;0;5;6
13;1;7;12;15;5
14;8;9;8;16;7
15;13;9;12;16;6
16;11;3;4;13;4
17;6;14;3;9;7
18;8;3;3;13;4
19;5;6;6;13;5
20;12;2;0;11;4
21;12;1;1;4;7
22;7;9;7;15;4
23;4;14;0;3;7
24;13;1;4;14;3
25;3;0;6;14;6
26;8;10;5;11;7
27;10;7;7;11;7
28;9;5;12;16;6
29;6;14;7;14;3
30;0;3;10;14;4
31;7;8;11;16;4
32;7;0;4;11;7
33;7;10;0;11;5
34;3;4;3;15;5
35;5;14;0;5;6
36;3;6;13;16;5
37;7;12;2;10;5
38;9;5;1;5;4
39;13;14;8;13;5
40;6;0;8;12;3
41;10;4;2;10;4
42;5;2;1;4;7
43;1;0;10;14;3
44;11;3;0;4;5
45;1;8;10;14;7
46;5;8;3;8;7
47;0;8;6;11;5
48;10;12;11;15;7
49;12;11;12;15;5
50;9;10;5;12;7
51;9;8;11;14;6
52;2;7;5;11;3
53;11;5;3;9;6
54;0;13;6;16;7
55;0;8;4;14;5
56;6;4;6;11;6
57;5;14;12;15;6
58;13;11;7;10;3
59;6;9;0;11;5
60;0;4;10;16;3
61;5;0;10;13;4
62;3;12;1;11;4
63;6;12;3;14;5
64;10;8;12;15;6
65;14;8;5;11;6
66;9;8;1;14;6
67;7;5;3;16;7
68;2;12;12;15;6
69;1;9;9;16;4
70;7;3;10;15;7
71;1;13;10;13;5
72;1;12;13;16;3
73;8;13;6;9;4
74;10;6;1;15;6
75;0;6;2;15;4
76;4;9;12;16;3
77;2;4;2;11;6
78;12;5;10;13;3
79;10;12;1;15;5
80;10;11;1;13;4
81;8;14;9;15;3
82;7;3;4;16;4
83;7;8;6;10;7
84;8;11;8;13;7
85;1;7;11;16;7
86;13;4;9;12;6
87;5;14;2;7;7
88;2;14;9;16;3
89;9;13;0;4;7
90;9;1;3;9;5
91;13;14;2;5;5
92;8;3;8;14;4
93;9;10;5;8;3
94;6;11;7;13;7
95;2;12;11;16;6
96;2;7;8;15;3
97;2;10;8;15;7
98;9;7;13;16;5
99;3;11;0;7;7
100;4;9;13;16;6
101;3;6;13;16;3
102;1;12;3;13;3
103;13;8;6;11;3
104;14;2;6;12;6
105;9;3;12;15;5
106;8;3;7;13;7
107;12;7;8;12;5
108;5;11;0;4;7
109;14;5;10;16;4
110;5;10;4;12;5
111;4;0;2;6;7
112;9;13;3;16;7
113;12;0;10;13;3
114;10;5;9;15;7
115;8;11;1;4;3
116;1;10;5;15;6
117;7;3;5;13;4
118;10;14;7;10;3
119;0;12;0;6;3
120;8;7;0;16;6
121;2;3;2;5;6
122;10;14;7;12;3
123;4;13;3;12;7
124;10;13;7;14;5
125;8;9;12;15;6
126;11;12;10;14;7
127;10;5;4;13;5
128;5;3;13;16;4
129;14;0;2;8;6
130;8;12;5;9;6
131;1;8;3;8;7
132;12;9;7;14;4
133;4;5;1;16;3
134;4;14;13;16;7
135;10;6;2;8;6
136;12;4;11;16;5
137;0;3;7;15;3
138;5;4;5;15;3
139;2;1;10;16;7
140;8;11;0;12;3
141;5;9;4;11;4
142;6;13;0;16;5
143;7;8;6;13;4
144;14;0;8;12;5
145;0;4;0;4;5
146;7;11;8;16;3
147;8;6;4;7;5
148;2;6;1;12;5
149;8;9;2;9;6
150;6;0;3;15;6
151;11;13;10;16;5
152;6;11;4;15;4
153;3;11;6;13;4
154;8;4;3;16;5
155;8;5;1;5;6
156;10;3;13;16;6
157;9;10;11;16;4
158;12;8;3;10;3
159;8;3;3;9;5
160;2;4;0;13;3
161;5;3;13;16;6
162;5;6;2;7;3
163;8;12;12;16;7
164;1;6;9;15;4
165;5;9;4;10;6
166;11;6;10;13;4
167;10;13;0;14;3
168;14;12;2;10;3
169;6;4;0;12;4
170;14;12;2;12;4
171;2;0;13;16;7
172;8;13;10;13;3
173;7;1;12;16;3
174;4;1;3;15;7
175;14;4;1;10;3
176;10;1;4;10;6
177;13;14;2;11;3
178;8;4;7;10;4
179;10;0;7;12;5
180;11;8;5;14;5
181;5;3;4;10;7
182;0;14;5;9;6
183;10;8;0;6;3
184;12;11;13;16;7
185;7;5;13;16;5
186;7;11;11;16;7
187;11;6;11;16;4
188;13;8;3;15;4
189;8;11;10;14;6
190;3;11;7;11;3
191;12;0;0;3;4
192;3;10;8;14;6
193;12;8;2;16;4
194;4;9;5;15;6
195;11;9;1;13;3
196;2;11;11;15;7
197;6;13;9;16;4
198;12;11;3;8;7
199;8;11;0;10;3
