packages_number
5
number;city_from;city_to;date_ready;date_delivery;weight
0;18;2;6;15;6
1;3;17;8;14;5
2;10;5;13;16;4
3;0;17;11;16;5
4;15;3;0;15;6
5;1;16;4;8;5
6;18;13;8;15;3
7;3;7;3;9;7
8;4;7;10;14;3
9;7;2;4;15;5
10;8;7;8;12;3
11;0;1;1;5;7
12;2;11;9;12;6
13;16;11;13;16;6
14;14;0;3;9;3
15;10;1;13;16;7
16;10;12;10;15;4
17;11;19;2;10;6
18;19;8;7;15;6
19;16;4;8;13;4
20;7;8;1;8;6
21;9;13;11;15;6
22;2;14;11;16;6
23;6;11;10;14;7
24;13;8;2;6;6
25;15;14;2;13;4
26;10;18;12;16;6
27;8;13;8;16;6
28;6;13;12;15;6
29;19;9;0;15;4
30;14;17;9;13;4
31;5;6;9;12;4
32;18;2;9;12;3
33;14;4;2;13;6
34;12;15;12;15;3
35;1;7;13;16;7
36;19;15;7;13;5
37;8;5;13;16;6
38;19;8;7;15;6
39;6;11;7;10;5
40;11;18;6;16;4
41;7;5;11;15;4
42;8;5;7;11;6
43;0;4;11;15;4
44;1;9;1;11;5
45;1;3;13;16;7
46;11;7;6;12;4
47;2;6;4;15;7
48;1;7;13;16;7
49;12;1;0;7;7
